"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"83,52";"74,84";"74,43"
"Zeitschriftenartikel";"85,04";"69,81";"69,52"
"Diplom- oder Masterarbeiten";"52,14";"49,00";"43,42"
"Buchbeiträge";"90,85";"76,62";"76,67"
"Average";"77,89";"67,57";"66,01"
