"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"79,38";"66,86";"63,06"
"Zeitschriftenartikel";"79,60";"65,76";"61,34"
"Diplom- oder Masterarbeiten";"83,97";"68,58";"66,33"
"Buchbeiträge";"78,66";"65,70";"62,71"
"Average";"80,40";"66,72";"63,36"
