"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"83,50";"74,01";"73,79"
"Zeitschriftenartikel";"84,88";"68,72";"68,68"
"Diplom- oder Masterarbeiten";"57,47";"52,23";"47,39"
"Buchbeiträge";"86,51";"72,32";"72,69"
"Average";"78,09";"66,82";"65,64"
