"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"not defined";"0,00";"0,00"
"Zeitschriftenartikel";"not defined";"0,00";"0,00"
"Diplom- oder Masterarbeiten";"not defined";"0,00";"0,00"
"Buchbeiträge";"not defined";"0,00";"0,00"
"Average";"0,00";"0,00";"0,00"
