"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"84,68";"69,99";"66,95"
"Zeitschriftenartikel";"83,20";"69,68";"65,96"
"Diplom- oder Masterarbeiten";"84,18";"68,33";"66,01"
"Buchbeiträge";"89,09";"75,02";"73,05"
"Average";"85,29";"70,76";"67,99"
