"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"85,18";"76,62";"75,87"
"Zeitschriftenartikel";"75,73";"66,02";"64,82"
"Diplom- oder Masterarbeiten";"48,99";"45,41";"40,48"
"Buchbeiträge";"78,82";"67,71";"67,49"
"Average";"72,18";"63,94";"62,17"
