"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"84,03";"69,76";"66,55"
"Zeitschriftenartikel";"81,98";"68,40";"65,24"
"Diplom- oder Masterarbeiten";"81,76";"66,77";"64,49"
"Buchbeiträge";"86,47";"72,95";"71,10"
"Average";"83,56";"69,47";"66,84"
