"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"81,74";"76,10";"73,81"
"Zeitschriftenartikel";"81,68";"69,83";"67,32"
"Diplom- oder Masterarbeiten";"48,64";"52,70";"42,56"
"Buchbeiträge";"89,59";"77,50";"76,59"
"Average";"75,41";"69,03";"65,07"
