"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"72,17";"52,11";"48,93"
"Zeitschriftenartikel";"67,57";"49,86";"47,05"
"Diplom- oder Masterarbeiten";"59,48";"40,80";"38,25"
"Buchbeiträge";"80,32";"58,17";"56,29"
"Average";"69,88";"50,23";"47,63"
