"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"85,32";"70,74";"67,48";"5086"
"Zeitschriftenartikel";"82,95";"69,58";"65,84";"2577"
"Diplom- oder Masterarbeiten";"83,04";"67,42";"65,07";"3994"
"Buchbeiträge";"89,20";"75,11";"73,14";"1108"
"Average";"85,13";"70,71";"67,88"
