"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"72,91";"58,80";"54,20";"696"
"Zeitschriftenartikel";"66,19";"53,57";"48,28";"233"
"Diplom- oder Masterarbeiten";"18,51";"13,19";"10,60";"162"
"Buchbeiträge";"86,73";"60,98";"62,54";"64"
"Average";"61,09";"46,64";"43,91"
