"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"74,07";"65,54";"59,94";"85,36";"76,54";"76,07";"67,78";"26,95";"25,78";"77,73";"28,52";"28,79"
"Zeitschriftenartikel";"66,67";"58,52";"52,24";"84,17";"72,03";"70,04";"65,73";"20,07";"20,06";"68,63";"22,11";"22,74"
"Diplom- oder Masterarbeiten";"21,07";"15,65";"12,54";"56,92";"52,70";"47,16";"39,43";"15,74";"13,21";"60,77";"13,11";"13,75"
"Buchbeiträge";"86,73";"67,28";"68,91";"93,01";"79,13";"78,97";"72,22";"32,89";"30,61";"72,89";"30,19";"30,66"
"Average";"62,14";"51,75";"48,41";"79,86";"70,10";"68,06";"61,29";"23,91";"22,41";"70,01";"23,48";"23,98"
