"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"85,65";"75,90";"72,91";"696"
"Zeitschriftenartikel";"73,61";"62,38";"60,12";"233"
"Diplom- oder Masterarbeiten";"52,38";"50,63";"45,54";"162"
"Buchbeiträge";"74,08";"54,96";"54,40";"64"
"Average";"71,43";"60,97";"58,24"
