"File";"Precision";"Recall";"F1"
"TUW-191977-ref5";"83,33";"50,00";"50,00";"10"
"TUW-191977-ref6";"83,33";"50,00";"50,00";"10"
"TUW-192724-ref1";"66,67";"57,14";"50,00";"7"
"TUW-192724-ref2";"80,00";"57,14";"57,14";"7"
"TUW-192724-ref3";"66,67";"57,14";"57,14";"7"
"TUW-192724-ref4";"66,67";"66,67";"57,14";"6"
"TUW-192724-ref5";"60,00";"37,50";"37,50";"8"
"TUW-192724-ref6";"75,00";"42,86";"42,86";"7"
"TUW-192724-ref7";"60,00";"37,50";"33,33";"8"
"TUW-192724-ref8";"60,00";"50,00";"50,00";"6"
"TUW-192724-ref10";"50,00";"20,00";"20,00";"10"
"TUW-192724-ref11";"28,57";"22,22";"22,22";"9"
"TUW-192724-ref12";"40,00";"25,00";"25,00";"8"
"TUW-192724-ref13";"50,00";"42,86";"42,86";"7"
"TUW-192724-ref14";"33,33";"28,57";"25,00";"7"
"TUW-192724-ref15";"50,00";"33,33";"33,33";"6"
"TUW-192724-ref16";"60,00";"50,00";"42,86";"6"
"TUW-194085-ref1";"75,00";"42,86";"42,86";"7"
"TUW-194085-ref2";"50,00";"42,86";"37,50";"7"
"TUW-194085-ref3";"20,00";"14,29";"14,29";"7"
"TUW-194085-ref4";"50,00";"33,33";"33,33";"9"
"TUW-194085-ref5";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref6";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref7";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref8";"60,00";"50,00";"50,00";"6"
"TUW-194085-ref9";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref10";"60,00";"37,50";"37,50";"8"
"TUW-194085-ref11";"50,00";"33,33";"33,33";"6"
"TUW-194085-ref12";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref13";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref14";"50,00";"50,00";"42,86";"6"
"TUW-194085-ref15";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref16";"83,33";"50,00";"50,00";"10"
"TUW-194085-ref17";"50,00";"33,33";"33,33";"9"
"TUW-194085-ref18";"60,00";"50,00";"50,00";"6"
"TUW-194561-ref1";"54,17";"44,32";"37,50";"11"
"TUW-194561-ref2";"100,00";"60,00";"60,00";"10"
"TUW-194561-ref3";"100,00";"60,00";"60,00";"10"
"TUW-194561-ref4";"60,00";"50,00";"42,86";"6"
"TUW-194561-ref5";"61,11";"52,38";"52,38";"7"
"TUW-194561-ref6";"96,00";"48,00";"48,00";"10"
"TUW-194561-ref7";"42,86";"27,27";"27,27";"11"
"TUW-194561-ref9";"100,00";"60,00";"60,00";"10"
"TUW-194561-ref10";"66,67";"44,44";"44,44";"9"
"TUW-194561-ref11";"100,00";"60,00";"60,00";"10"
"TUW-194561-ref12";"40,74";"33,33";"28,21";"11"
"TUW-194561-ref13";"55,56";"50,00";"41,67";"10"
"TUW-194561-ref14";"85,71";"85,71";"75,00";"7"
"TUW-194561-ref15";"57,14";"44,44";"40,00";"9"
"TUW-194561-ref16";"100,00";"60,00";"60,00";"10"
"TUW-194561-ref17";"57,14";"40,00";"33,33";"10"
"TUW-194561-ref18";"83,33";"62,50";"62,50";"8"
"TUW-194561-ref19";"66,67";"40,00";"36,36";"10"
"TUW-194561-ref20";"75,00";"42,86";"42,86";"7"
"TUW-194561-ref22";"71,43";"50,00";"45,45";"10"
"TUW-194660-ref1";"60,00";"37,50";"37,50";"8"
"TUW-194660-ref2";"100,00";"60,00";"60,00";"10"
"TUW-194660-ref4";"50,00";"30,00";"30,00";"10"
"TUW-194660-ref5";"33,33";"28,57";"28,57";"7"
"TUW-197422-ref1";"60,00";"37,50";"37,50";"8"
"TUW-197422-ref2";"60,00";"50,00";"50,00";"6"
"TUW-197422-ref3";"66,67";"66,67";"66,67";"6"
"TUW-197422-ref4";"80,00";"80,00";"80,00";"5"
"TUW-197422-ref5";"80,00";"57,14";"57,14";"7"
"TUW-197422-ref6";"100,00";"62,50";"62,50";"8"
"TUW-197422-ref7";"66,67";"66,67";"66,67";"6"
"TUW-197422-ref8";"100,00";"55,56";"55,56";"9"
"TUW-197422-ref9";"66,67";"66,67";"66,67";"6"
"TUW-197422-ref10";"100,00";"100,00";"100,00";"5"
"TUW-197422-ref11";"100,00";"55,56";"55,56";"9"
"TUW-197422-ref12";"100,00";"55,56";"55,56";"9"
"TUW-197422-ref13";"83,33";"62,50";"62,50";"8"
"TUW-197422-ref14";"80,00";"80,00";"66,67";"5"
"TUW-197422-ref15";"100,00";"55,56";"55,56";"9"
"TUW-197422-ref16";"80,00";"57,14";"57,14";"7"
"TUW-197422-ref17";"80,00";"38,89";"40,74";"9"
"TUW-197422-ref18";"100,00";"55,56";"55,56";"9"
"TUW-197422-ref19";"57,14";"57,14";"50,00";"7"
"TUW-197422-ref20";"100,00";"55,56";"55,56";"9"
"TUW-197422-ref21";"100,00";"55,56";"55,56";"9"
"TUW-197422-ref22";"66,67";"66,67";"66,67";"6"
"TUW-197422-ref23";"66,67";"80,00";"66,67";"5"
"TUW-197422-ref24";"66,67";"66,67";"66,67";"6"
"TUW-197422-ref25";"50,00";"37,50";"37,50";"8"
"TUW-197422-ref26";"100,00";"55,56";"55,56";"9"
"TUW-197852-ref1";"100,00";"60,00";"60,00";"10"
"TUW-197852-ref2";"55,56";"37,04";"37,04";"9"
"TUW-197852-ref3";"66,67";"40,00";"40,00";"10"
"TUW-197852-ref4";"80,00";"44,44";"44,44";"9"
"TUW-197852-ref5";"100,00";"60,00";"60,00";"10"
"TUW-197852-ref6";"100,00";"40,00";"40,00";"10"
"TUW-197852-ref7";"66,67";"50,00";"44,44";"8"
"TUW-198400-ref1";"66,67";"44,44";"44,44";"9"
"TUW-198400-ref2";"50,00";"40,00";"33,33";"5"
"TUW-198400-ref3";"80,00";"66,67";"66,67";"6"
"TUW-198400-ref4";"100,00";"83,33";"83,33";"6"
"TUW-198400-ref5";"100,00";"50,00";"50,00";"8"
"TUW-198400-ref6";"100,00";"57,14";"57,14";"7"
"TUW-198400-ref7";"100,00";"66,67";"66,67";"6"
"TUW-198400-ref8";"80,00";"66,67";"66,67";"6"
"TUW-198400-ref9";"80,00";"44,44";"44,44";"9"
"TUW-198400-ref10";"100,00";"55,56";"55,56";"9"
"TUW-198400-ref11";"100,00";"66,67";"66,67";"6"
"TUW-198400-ref12";"80,00";"66,67";"66,67";"6"
"TUW-198400-ref13";"75,00";"50,00";"50,00";"6"
"TUW-198400-ref14";"75,00";"50,00";"50,00";"6"
"TUW-198400-ref15";"66,67";"57,14";"57,14";"7"
"TUW-198400-ref16";"100,00";"80,00";"80,00";"5"
"TUW-198400-ref17";"80,00";"80,00";"80,00";"5"
"TUW-198400-ref19";"75,00";"60,00";"60,00";"5"
"TUW-198400-ref20";"60,00";"33,33";"33,33";"9"
"TUW-198400-ref21";"80,00";"44,44";"44,44";"9"
"TUW-198400-ref22";"80,00";"66,67";"66,67";"6"
"TUW-198400-ref23";"20,00";"14,29";"11,11";"7"
"TUW-198400-ref24";"60,00";"42,86";"42,86";"7"
"TUW-198400-ref25";"80,00";"44,44";"44,44";"9"
"TUW-198400-ref26";"33,33";"20,00";"20,00";"10"
"TUW-198400-ref27";"60,00";"50,00";"50,00";"6"
"TUW-198400-ref28";"60,00";"50,00";"50,00";"6"
"TUW-198401-ref1";"42,86";"30,00";"30,00";"10"
"TUW-198401-ref4";"66,67";"40,00";"40,00";"10"
"TUW-198401-ref5";"33,33";"28,57";"28,57";"7"
"TUW-198401-ref6";"40,00";"33,33";"33,33";"6"
"TUW-198405-ref1";"60,00";"50,00";"42,86";"6"
"TUW-198405-ref2";"100,00";"60,00";"60,00";"10"
"TUW-198405-ref3";"66,67";"50,00";"44,44";"8"
"TUW-198405-ref4";"80,00";"57,14";"57,14";"7"
"TUW-198405-ref5";"80,00";"44,44";"44,44";"9"
"TUW-198405-ref6";"100,00";"60,00";"60,00";"10"
"TUW-198408-ref1";"100,00";"83,33";"83,33";"6"
"TUW-198408-ref2";"80,00";"40,00";"40,00";"10"
"TUW-198408-ref3";"80,00";"44,44";"44,44";"9"
"TUW-198408-ref4";"70,00";"38,89";"38,89";"9"
"TUW-198408-ref5";"100,00";"50,00";"50,00";"10"
"TUW-198408-ref6";"80,00";"57,14";"50,00";"7"
"TUW-198408-ref7";"100,00";"50,00";"50,00";"10"
"TUW-198408-ref8";"100,00";"50,00";"50,00";"10"
"TUW-198408-ref9";"75,00";"37,50";"33,33";"8"
"TUW-198408-ref10";"80,00";"40,00";"40,00";"10"
"TUW-198408-ref11";"100,00";"62,50";"62,50";"8"
"TUW-198408-ref12";"100,00";"50,00";"50,00";"10"
"TUW-198408-ref13";"80,00";"40,00";"40,00";"10"
"TUW-198408-ref14";"100,00";"50,00";"50,00";"10"
"TUW-198408-ref15";"100,00";"57,14";"57,14";"7"
"TUW-198408-ref16";"0,00";"0,00";"0,00";"10"
"TUW-198408-ref17";"60,00";"33,33";"33,33";"9"
"TUW-198408-ref19";"50,00";"33,33";"33,33";"9"
"TUW-198408-ref20";"60,00";"30,00";"30,00";"10"
"TUW-198408-ref21";"60,00";"30,00";"30,00";"10"
"TUW-198408-ref22";"80,00";"40,00";"40,00";"10"
"TUW-198408-ref23";"80,00";"40,00";"40,00";"10"
"TUW-198408-ref24";"40,00";"22,22";"22,22";"9"
"TUW-198408-ref25";"80,00";"40,00";"40,00";"10"
"TUW-198408-ref26";"80,00";"40,00";"40,00";"10"
"TUW-198408-ref27";"41,67";"27,78";"27,78";"9"
"TUW-200745-ref1";"60,00";"42,86";"37,50";"7"
"TUW-200745-ref2";"80,00";"57,14";"57,14";"7"
"TUW-200745-ref3";"83,33";"54,17";"56,25";"8"
"TUW-200745-ref4";"100,00";"43,33";"45,00";"10"
"TUW-200745-ref5";"50,00";"25,00";"26,67";"10"
"TUW-200745-ref6";"71,43";"40,91";"42,42";"11"
"TUW-200745-ref7";"66,67";"50,00";"44,44";"8"
"TUW-200745-ref8";"100,00";"48,15";"50,00";"9"
"TUW-200745-ref9";"80,00";"66,67";"57,14";"6"
"TUW-200745-ref10";"100,00";"31,82";"33,33";"11"
"TUW-200745-ref11";"80,00";"57,14";"50,00";"7"
"TUW-200745-ref12";"80,00";"31,82";"33,33";"11"
"TUW-200745-ref13";"80,00";"57,14";"50,00";"7"
"TUW-200745-ref14";"80,00";"57,14";"57,14";"7"
"TUW-200745-ref15";"100,00";"66,67";"66,67";"6"
"TUW-200745-ref16";"80,00";"57,14";"57,14";"7"
"TUW-200748-ref1";"90,00";"45,00";"45,00";"10"
"TUW-200748-ref2";"100,00";"50,00";"50,00";"10"
"TUW-200748-ref3";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref4";"73,33";"40,74";"40,74";"9"
"TUW-200748-ref5";"100,00";"55,56";"55,56";"9"
"TUW-200748-ref6";"100,00";"62,50";"62,50";"8"
"TUW-200748-ref7";"75,00";"33,33";"33,33";"9"
"TUW-200748-ref9";"80,00";"44,44";"44,44";"9"
"TUW-200748-ref10";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref11";"50,00";"33,33";"33,33";"9"
"TUW-200748-ref12";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref13";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref14";"80,00";"44,44";"44,44";"9"
"TUW-200748-ref15";"57,14";"40,00";"40,00";"10"
"TUW-200748-ref16";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref17";"50,00";"33,33";"33,33";"9"
"TUW-200748-ref18";"50,00";"33,33";"33,33";"9"
"TUW-200748-ref19";"75,00";"37,50";"37,50";"8"
"TUW-200748-ref20";"38,89";"27,78";"26,67";"9"
"TUW-200748-ref21";"60,00";"37,50";"37,50";"8"
"TUW-200748-ref22";"60,00";"37,50";"37,50";"8"
"TUW-200748-ref23";"83,33";"55,56";"55,56";"9"
"TUW-200748-ref25";"50,00";"30,77";"30,77";"13"
"TUW-200748-ref26";"50,00";"33,33";"33,33";"9"
"TUW-200748-ref27";"57,14";"50,00";"44,44";"8"
"TUW-200748-ref28";"75,00";"37,50";"37,50";"8"
"TUW-200748-ref29";"50,00";"25,00";"25,00";"8"
"TUW-200748-ref30";"50,00";"42,86";"37,50";"7"
"TUW-200748-ref31";"50,00";"33,33";"33,33";"9"
"TUW-200748-ref32";"14,29";"8,33";"8,00";"8"
"TUW-200748-ref34";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref35";"60,00";"25,00";"25,00";"12"
"TUW-200748-ref36";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref37";"80,00";"40,00";"40,00";"10"
"TUW-200748-ref38";"50,00";"42,86";"42,86";"7"
"TUW-200748-ref39";"75,00";"60,00";"60,00";"5"
"TUW-200748-ref40";"60,00";"50,00";"42,86";"6"
"TUW-200748-ref41";"80,00";"40,00";"40,00";"10"
"TUW-200948-ref1";"80,00";"44,44";"44,44";"9"
"TUW-200948-ref2";"83,33";"50,00";"50,00";"10"
"TUW-200948-ref3";"28,57";"25,00";"20,00";"8"
"TUW-200948-ref4";"60,00";"50,00";"50,00";"6"
"TUW-200948-ref5";"33,33";"20,00";"20,00";"10"
"TUW-200948-ref6";"80,00";"44,44";"44,44";"9"
"TUW-200948-ref7";"60,00";"50,00";"50,00";"6"
"TUW-200948-ref8";"40,00";"25,00";"25,00";"8"
"TUW-200948-ref10";"60,00";"33,33";"33,33";"9"
"TUW-200948-ref11";"66,67";"40,00";"40,00";"10"
"TUW-200948-ref12";"25,00";"18,18";"15,38";"11"
"TUW-200948-ref13";"25,00";"20,00";"16,67";"10"
"TUW-200948-ref14";"50,00";"30,00";"30,00";"10"
"TUW-200948-ref15";"66,67";"40,00";"40,00";"10"
"TUW-200948-ref16";"20,00";"14,29";"14,29";"7"
"TUW-200950-ref1";"57,14";"33,33";"33,33";"12"
"TUW-200950-ref2";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref3";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref4";"66,67";"50,00";"50,00";"8"
"TUW-200950-ref5";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref6";"66,67";"50,00";"50,00";"8"
"TUW-200950-ref7";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref8";"50,00";"41,67";"35,71";"6"
"TUW-200950-ref9";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref10";"80,00";"66,67";"66,67";"6"
"TUW-200950-ref11";"100,00";"66,67";"66,67";"6"
"TUW-200950-ref12";"100,00";"66,67";"66,67";"6"
"TUW-200950-ref13";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref14";"75,00";"50,00";"42,86";"6"
"TUW-200950-ref15";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref16";"75,00";"50,00";"46,15";"12"
"TUW-200950-ref17";"100,00";"57,14";"57,14";"7"
"TUW-200950-ref18";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref19";"60,00";"50,00";"42,86";"6"
"TUW-200950-ref20";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref21";"100,00";"55,56";"55,56";"9"
"TUW-200950-ref22";"83,33";"50,00";"45,45";"10"
"TUW-200950-ref23";"57,14";"33,33";"33,33";"12"
"TUW-200959-ref1";"100,00";"60,00";"60,00";"10"
"TUW-200959-ref2";"80,00";"57,14";"57,14";"7"
"TUW-200959-ref3";"60,00";"50,00";"42,86";"6"
"TUW-200959-ref4";"100,00";"60,00";"60,00";"10"
"TUW-200959-ref5";"50,00";"40,00";"36,36";"10"
"TUW-200959-ref6";"80,00";"50,00";"50,00";"8"
"TUW-200959-ref7";"80,00";"44,44";"44,44";"9"
"TUW-200959-ref8";"83,33";"55,56";"55,56";"9"
"TUW-200959-ref9";"100,00";"55,56";"55,56";"9"
"TUW-200959-ref10";"100,00";"40,00";"40,00";"10"
"TUW-200959-ref11";"33,33";"20,00";"20,00";"10"
"TUW-200959-ref12";"100,00";"55,56";"55,56";"9"
"TUW-200959-ref13";"100,00";"57,14";"57,14";"7"
"TUW-200959-ref14";"100,00";"62,50";"62,50";"8"
"TUW-200959-ref15";"66,67";"33,33";"33,33";"6"
"TUW-200959-ref16";"80,00";"50,00";"50,00";"8"
"TUW-200959-ref17";"100,00";"50,00";"50,00";"10"
"TUW-200959-ref18";"100,00";"60,00";"60,00";"10"
"TUW-200959-ref19";"80,00";"57,14";"57,14";"7"
"TUW-200959-ref20";"80,00";"44,44";"44,44";"9"
"TUW-200959-ref21";"66,67";"57,14";"57,14";"7"
"TUW-200959-ref22";"100,00";"60,00";"60,00";"10"
"TUW-200959-ref23";"60,00";"37,50";"37,50";"8"
"TUW-200959-ref24";"50,00";"44,44";"40,00";"9"
"TUW-200959-ref25";"50,00";"40,00";"36,36";"10"
"TUW-200959-ref26";"100,00";"57,14";"57,14";"7"
"TUW-200959-ref27";"80,00";"50,00";"50,00";"8"
"TUW-201066-ref1";"100,00";"60,00";"60,00";"10"
"TUW-201066-ref2";"43,75";"31,82";"29,17";"11"
"TUW-201066-ref3";"80,00";"44,44";"44,44";"9"
"TUW-201066-ref4";"100,00";"60,00";"60,00";"10"
"TUW-201160-ref1";"83,33";"83,33";"83,33";"6"
"TUW-201160-ref2";"100,00";"62,50";"62,50";"8"
"TUW-201160-ref3";"100,00";"60,00";"60,00";"10"
"TUW-201160-ref4";"91,67";"55,00";"55,00";"10"
"TUW-201160-ref5";"100,00";"55,56";"55,56";"9"
"TUW-201160-ref6";"100,00";"60,00";"60,00";"10"
"TUW-201160-ref7";"100,00";"60,00";"60,00";"10"
"TUW-201167-ref1";"100,00";"60,00";"60,00";"10"
"TUW-201167-ref2";"100,00";"60,00";"60,00";"10"
"TUW-201167-ref3";"75,00";"60,00";"54,55";"10"
"TUW-201167-ref4";"56,25";"45,00";"40,91";"10"
"TUW-201167-ref5";"64,29";"45,00";"40,91";"10"
"TUW-201167-ref6";"80,00";"44,44";"44,44";"9"
"TUW-201821-ref1";"77,78";"58,33";"58,33";"8"
"TUW-201821-ref2";"80,00";"50,00";"50,00";"8"
"TUW-201821-ref3";"100,00";"62,50";"62,50";"8"
"TUW-201821-ref4";"100,00";"62,50";"62,50";"8"
"TUW-201821-ref5";"100,00";"50,00";"50,00";"8"
"TUW-201821-ref6";"100,00";"60,00";"60,00";"10"
"TUW-201821-ref7";"62,50";"31,25";"31,25";"8"
"TUW-201821-ref8";"60,00";"42,86";"42,86";"7"
"TUW-201821-ref9";"80,00";"50,00";"50,00";"8"
"TUW-201821-ref10";"83,33";"50,00";"50,00";"10"
"TUW-201821-ref11";"100,00";"40,00";"40,00";"10"
"TUW-201821-ref12";"55,00";"45,83";"34,38";"6"
"TUW-201821-ref13";"100,00";"50,00";"50,00";"8"
"TUW-201821-ref14";"66,67";"33,33";"33,33";"8"
"TUW-201821-ref15";"83,33";"50,00";"50,00";"10"
"TUW-201821-ref16";"100,00";"80,00";"80,00";"5"
"TUW-201821-ref17";"100,00";"60,00";"60,00";"10"
"TUW-201821-ref18";"100,00";"50,00";"50,00";"8"
"TUW-201821-ref19";"80,00";"50,00";"50,00";"8"
"TUW-201821-ref20";"100,00";"60,00";"60,00";"10"
"TUW-201821-ref21";"100,00";"62,50";"62,50";"8"
"TUW-201821-ref22";"100,00";"50,00";"50,00";"8"
"TUW-201821-ref23";"70,00";"50,00";"50,00";"7"
"TUW-201821-ref24";"80,00";"50,00";"50,00";"8"
"TUW-202034-ref1";"75,00";"42,86";"42,86";"7"
"TUW-202034-ref2";"100,00";"55,56";"55,56";"9"
"TUW-202034-ref3";"75,00";"42,86";"42,86";"7"
"TUW-202034-ref4";"100,00";"55,56";"55,56";"9"
"TUW-202034-ref5";"100,00";"60,00";"60,00";"10"
"TUW-202034-ref6";"80,00";"66,67";"66,67";"6"
"TUW-202034-ref7";"100,00";"55,56";"55,56";"9"
"TUW-202034-ref8";"100,00";"57,14";"57,14";"7"
"TUW-202034-ref9";"100,00";"55,56";"55,56";"9"
"TUW-202034-ref10";"100,00";"62,50";"62,50";"8"
"TUW-202034-ref11";"83,33";"50,00";"50,00";"10"
"TUW-202034-ref12";"80,00";"40,00";"40,00";"10"
"TUW-202034-ref13";"100,00";"55,56";"55,56";"9"
"TUW-202034-ref14";"66,67";"57,14";"57,14";"7"
"TUW-202034-ref15";"100,00";"60,00";"60,00";"10"
"TUW-202034-ref16";"100,00";"55,56";"55,56";"9"
"TUW-202034-ref17";"80,00";"66,67";"57,14";"6"
"TUW-202034-ref18";"100,00";"57,14";"57,14";"7"
"TUW-202034-ref19";"71,43";"45,45";"45,45";"11"
"TUW-202034-ref20";"100,00";"55,56";"55,56";"9"
"TUW-202034-ref21";"80,00";"66,67";"57,14";"6"
"TUW-202824-ref2";"100,00";"62,50";"62,50";"8"
"TUW-202824-ref3";"100,00";"83,33";"83,33";"6"
"TUW-202824-ref4";"80,00";"66,67";"57,14";"6"
"TUW-203924-ref1";"100,00";"55,56";"55,56";"9"
"TUW-203924-ref2";"97,78";"54,32";"54,32";"9"
"TUW-203924-ref3";"50,00";"50,00";"40,00";"4"
"TUW-203924-ref6";"78,57";"43,65";"43,65";"9"
"TUW-203924-ref7";"80,00";"44,44";"44,44";"9"
"TUW-203924-ref11";"76,00";"42,22";"42,22";"9"
"TUW-203924-ref12";"71,88";"47,92";"47,92";"6"
"TUW-203924-ref13";"57,78";"36,11";"32,10";"8"
"TUW-203924-ref15";"68,75";"55,00";"55,00";"5"
"TUW-203924-ref16";"77,14";"48,21";"48,21";"8"
"TUW-203924-ref18";"76,00";"54,29";"54,29";"7"
"TUW-203924-ref20";"73,33";"40,74";"40,74";"9"
"TUW-203924-ref22";"80,00";"44,44";"44,44";"9"
"TUW-204724-ref1";"66,67";"57,14";"57,14";"7"
"TUW-204724-ref2";"100,00";"80,00";"80,00";"5"
"TUW-204724-ref3";"100,00";"80,00";"80,00";"5"
"TUW-204724-ref6";"50,00";"40,00";"40,00";"5"
"TUW-204724-ref7";"60,00";"60,00";"60,00";"5"
"TUW-204724-ref8";"50,00";"22,22";"22,22";"9"
"TUW-204724-ref9";"41,67";"41,67";"41,67";"6"
"TUW-204724-ref10";"66,67";"38,89";"36,67";"9"
"TUW-204724-ref11";"75,00";"33,33";"33,33";"9"
"TUW-204724-ref12";"60,00";"50,00";"50,00";"6"
"TUW-205557-ref1";"66,67";"57,14";"57,14";"7"
"TUW-205557-ref2";"57,14";"50,00";"50,00";"8"
"TUW-205933-ref1";"80,00";"57,14";"57,14";"7"
"TUW-205933-ref3";"33,33";"20,00";"20,00";"10"
"TUW-205933-ref4";"50,00";"50,00";"50,00";"6"
"TUW-205933-ref5";"71,43";"55,56";"55,56";"9"
"TUW-205933-ref7";"40,00";"40,00";"33,33";"5"
"TUW-205933-ref9";"40,00";"40,00";"40,00";"5"
"TUW-205933-ref10";"60,00";"60,00";"60,00";"5"
"TUW-205933-ref11";"50,00";"50,00";"42,86";"6"
"TUW-205933-ref12";"28,57";"40,00";"28,57";"5"
"TUW-213513-ref1";"100,00";"57,14";"57,14";"7"
"TUW-213513-ref2";"66,67";"44,44";"40,00";"9"
"TUW-216744-ref1";"100,00";"55,56";"55,56";"9"
"TUW-216744-ref2";"100,00";"55,56";"55,56";"9"
"TUW-216744-ref3";"100,00";"55,56";"55,56";"9"
"TUW-216744-ref4";"100,00";"55,56";"55,56";"9"
"TUW-216744-ref5";"100,00";"55,56";"55,56";"9"
"TUW-216744-ref7";"80,00";"44,44";"44,44";"9"
"TUW-216744-ref9";"60,00";"33,33";"33,33";"9"
"TUW-216744-ref10";"80,00";"44,44";"44,44";"9"
"TUW-216744-ref11";"60,00";"33,33";"30,00";"9"
"TUW-216744-ref12";"80,00";"44,44";"44,44";"9"
"TUW-216744-ref13";"50,00";"40,00";"33,33";"5"
"TUW-216744-ref14";"80,00";"50,00";"50,00";"8"
"TUW-216744-ref15";"80,00";"44,44";"44,44";"9"
"TUW-216744-ref16";"60,00";"42,86";"37,50";"7"
"TUW-216744-ref17";"80,00";"44,44";"44,44";"9"
"TUW-216744-ref18";"50,00";"40,00";"33,33";"5"
"TUW-217690-ref1";"66,67";"66,67";"57,14";"6"
"TUW-217690-ref2";"66,67";"44,44";"44,44";"9"
"TUW-217971-ref1";"100,00";"57,14";"57,14";"7"
"TUW-217971-ref2";"66,67";"57,14";"57,14";"7"
"TUW-217971-ref3";"66,67";"57,14";"57,14";"7"
"TUW-217971-ref4";"66,67";"57,14";"57,14";"7"
"TUW-217971-ref5";"73,33";"45,83";"45,83";"8"
"TUW-217971-ref6";"80,00";"57,14";"57,14";"7"
"TUW-217971-ref7";"100,00";"66,67";"66,67";"9"
"TUW-217971-ref8";"66,67";"44,44";"44,44";"9"
"TUW-217971-ref9";"60,00";"42,86";"42,86";"7"
"TUW-217971-ref10";"80,00";"50,00";"50,00";"8"
"TUW-221215-ref1";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref2";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref3";"100,00";"50,00";"50,00";"8"
"TUW-221215-ref4";"100,00";"55,56";"55,56";"9"
"TUW-221215-ref5";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref6";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref7";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref8";"70,00";"43,75";"38,89";"8"
"TUW-221215-ref9";"83,33";"62,50";"55,56";"8"
"TUW-221215-ref10";"100,00";"55,56";"55,56";"9"
"TUW-221215-ref11";"100,00";"57,14";"57,14";"7"
"TUW-221215-ref12";"100,00";"66,67";"66,67";"9"
"TUW-221215-ref13";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref14";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref15";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref16";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref17";"100,00";"57,14";"57,14";"7"
"TUW-221215-ref18";"80,00";"66,67";"57,14";"6"
"TUW-221215-ref19";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref20";"100,00";"45,00";"46,67";"10"
"TUW-221215-ref21";"80,00";"44,44";"40,00";"9"
"TUW-221215-ref22";"100,00";"83,33";"83,33";"6"
"TUW-221215-ref23";"83,33";"50,00";"51,85";"9"
"TUW-221215-ref24";"50,00";"33,33";"28,57";"6"
"TUW-221215-ref25";"100,00";"62,50";"62,50";"8"
"TUW-221215-ref26";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref27";"100,00";"55,56";"55,56";"9"
"TUW-221215-ref28";"100,00";"55,56";"55,56";"9"
"TUW-221215-ref29";"85,71";"54,55";"54,55";"11"
"TUW-221215-ref30";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref31";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref32";"80,00";"50,00";"50,00";"8"
"TUW-221215-ref33";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref34";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref35";"100,00";"50,00";"50,00";"10"
"TUW-221215-ref36";"83,33";"50,00";"45,45";"10"
"TUW-221215-ref37";"80,00";"35,00";"36,67";"10"
"TUW-221215-ref38";"60,00";"42,86";"37,50";"7"
"TUW-221215-ref39";"100,00";"45,00";"46,67";"10"
"TUW-221215-ref42";"75,00";"31,25";"33,33";"8"
"TUW-221215-ref43";"80,00";"50,00";"50,00";"8"
"TUW-221215-ref44";"80,00";"40,00";"40,00";"10"
"TUW-223906-ref1";"80,00";"50,00";"50,00";"8"
"TUW-223906-ref2";"80,00";"44,44";"44,44";"9"
"TUW-223906-ref3";"80,00";"44,44";"44,44";"9"
"TUW-223906-ref4";"80,00";"66,67";"66,67";"6"
"TUW-223906-ref5";"80,00";"66,67";"66,67";"6"
"TUW-223973-ref1";"100,00";"55,56";"55,56";"9"
