"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"77,57";"47,87";"46,37";"85,79";"69,18";"65,56";"71,07";"43,60";"42,46";"NAN";"0,00";"0,00"
"Zeitschriftenartikel";"79,33";"48,19";"46,98";"85,14";"69,12";"65,52";"62,39";"37,53";"36,36";"NAN";"0,00";"0,00"
"Diplom- oder Masterarbeiten";"81,66";"46,27";"45,73";"85,66";"67,85";"65,23";"74,89";"43,03";"41,91";"NAN";"0,00";"0,00"
"Buchbeiträge";"81,15";"51,44";"50,64";"87,71";"72,26";"70,21";"79,11";"47,22";"46,12";"NAN";"0,00";"0,00"
"Average";"79,93";"48,44";"47,43";"86,08";"69,60";"66,63";"71,86";"42,84";"41,71";"NAN";"0,00";"0,00"
