"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"77,80";"26,03";"26,28";"696"
"Zeitschriftenartikel";"68,63";"20,40";"20,98";"233"
"Diplom- oder Masterarbeiten";"60,77";"13,11";"13,75";"162"
"Buchbeiträge";"72,89";"27,36";"27,79";"64"
"Average";"70,02";"21,73";"22,20"
