"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"71,65";"47,33";"46,24";"4829"
"Zeitschriftenartikel";"62,12";"40,32";"39,20";"2568"
"Diplom- oder Masterarbeiten";"72,14";"45,00";"43,96";"3619"
"Buchbeiträge";"77,50";"49,81";"48,76";"1079"
"Average";"70,85";"45,62";"44,54"
