"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"84,43";"75,46";"74,92"
"Zeitschriftenartikel";"84,52";"67,91";"68,07"
"Diplom- oder Masterarbeiten";"53,07";"49,85";"43,97"
"Buchbeiträge";"93,01";"79,47";"79,15"
"Average";"78,76";"68,17";"66,53"
