"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"85,33";"76,91";"76,28"
"Zeitschriftenartikel";"87,18";"71,69";"71,51"
"Diplom- oder Masterarbeiten";"56,91";"52,70";"47,16"
"Buchbeiträge";"93,01";"79,35";"79,09"
"Average";"80,61";"70,16";"68,51"
