"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"82,49";"73,90";"73,21"
"Zeitschriftenartikel";"75,88";"64,31";"63,18"
"Diplom- oder Masterarbeiten";"45,35";"46,76";"41,06"
"Buchbeiträge";"78,98";"66,01";"66,23"
"Average";"70,68";"62,75";"60,92"
