"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"77,80";"26,37";"26,63"
"Zeitschriftenartikel";"68,63";"20,94";"21,54"
"Diplom- oder Masterarbeiten";"60,77";"13,19";"13,83"
"Buchbeiträge";"72,89";"27,36";"27,79"
"Average";"70,02";"21,97";"22,45"
