"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"74,68";"59,13";"54,96"
"Zeitschriftenartikel";"66,84";"52,34";"47,82"
"Diplom- oder Masterarbeiten";"20,19";"13,27";"10,71"
"Buchbeiträge";"88,50";"60,98";"63,52"
"Average";"62,55";"46,43";"44,25"
