"File";"Precision";"Recall";"F1"
"TUW-139785-ref36";"50,00";"40,00";"33,33"
"TUW-139785-ref37";"50,00";"41,67";"35,71"
"TUW-139785-ref38";"40,00";"28,57";"25,00"
"TUW-139785-ref39";"81,48";"75,00";"74,00"
"TUW-139785-ref40";"87,50";"70,00";"70,00"
"TUW-139785-ref41";"62,50";"55,56";"55,56"
"TUW-139785-ref42";"50,00";"37,50";"33,33"
"TUW-139785-ref43";"87,50";"70,00";"70,00"
"TUW-139785-ref45";"55,00";"45,83";"39,29"
"TUW-140047-ref2";"38,64";"55,56";"33,85"
"TUW-140048-ref1";"40,00";"33,33";"25,00"
"TUW-140048-ref2";"100,00";"81,82";"81,82"
"TUW-140048-ref3";"71,43";"55,56";"50,00"
"TUW-140048-ref4";"100,00";"81,82";"81,82"
"TUW-140048-ref5";"75,00";"50,00";"50,00"
"TUW-140048-ref6";"66,67";"33,33";"28,57"
"TUW-140048-ref7";"40,00";"33,33";"22,22"
"TUW-140048-ref8";"50,00";"33,33";"25,00"
"TUW-140048-ref9";"50,00";"33,33";"25,00"
"TUW-140048-ref10";"40,00";"33,33";"25,00"
"TUW-140048-ref11";"50,00";"28,57";"25,00"
"TUW-140048-ref12";"50,00";"33,33";"28,57"
"TUW-140048-ref13";"50,00";"33,33";"28,57"
"TUW-140229-ref1";"100,00";"50,00";"50,00"
"TUW-140229-ref2";"75,00";"50,00";"50,00"
"TUW-140229-ref5";"33,33";"9,09";"9,09"
"TUW-140229-ref7";"75,00";"30,00";"30,00"
"TUW-140229-ref9";"75,00";"30,00";"30,00"
"TUW-140253-ref2";"60,00";"30,00";"30,00"
"TUW-140253-ref3";"60,00";"50,00";"50,00"
"TUW-140253-ref4";"37,50";"21,43";"18,75"
"TUW-140253-ref6";"60,00";"30,00";"30,00"
"TUW-140253-ref7";"25,00";"10,00";"10,00"
"TUW-140253-ref8";"60,00";"30,00";"30,00"
"TUW-140253-ref9";"20,00";"11,11";"10,00"
"TUW-140253-ref10";"33,33";"14,29";"14,29"
"TUW-140253-ref11";"25,00";"12,50";"12,50"
"TUW-140253-ref12";"60,00";"37,50";"37,50"
"TUW-140253-ref15";"25,00";"10,00";"10,00"
"TUW-140253-ref16";"37,50";"21,43";"21,43"
"TUW-140253-ref17";"60,00";"30,00";"30,00"
"TUW-140253-ref18";"37,50";"21,43";"21,43"
"TUW-140253-ref19";"60,00";"42,86";"42,86"
"TUW-140253-ref20";"70,00";"38,89";"38,89"
"TUW-140253-ref22";"65,00";"33,33";"32,86"
"TUW-140253-ref24";"37,50";"15,00";"15,00"
"TUW-140253-ref25";"60,00";"42,86";"42,86"
"TUW-140253-ref26";"60,00";"30,00";"30,00"
"TUW-140253-ref27";"60,00";"33,33";"33,33"
"TUW-140253-ref28";"25,00";"10,00";"10,00"
"TUW-140253-ref29";"60,00";"42,86";"42,86"
"TUW-140253-ref30";"37,50";"21,43";"21,43"
"TUW-140253-ref31";"25,00";"14,29";"12,50"
"TUW-140253-ref32";"37,50";"16,67";"16,67"
"TUW-140253-ref33";"33,33";"10,00";"10,00"
"TUW-140253-ref34";"60,00";"30,00";"30,00"
"TUW-140253-ref35";"50,00";"28,57";"28,57"
"TUW-140308-ref1";"75,00";"60,00";"50,00"
"TUW-140308-ref2";"88,89";"66,67";"66,67"
"TUW-140308-ref3";"94,44";"70,83";"70,83"
"TUW-140308-ref4";"100,00";"87,50";"87,50"
"TUW-140533-ref1";"18,57";"18,18";"16,07"
"TUW-140533-ref4";"87,50";"74,07";"75,56"
"TUW-140533-ref5";"83,33";"60,71";"61,54"
"TUW-140533-ref9";"20,00";"16,67";"14,29"
"TUW-140533-ref10";"20,00";"16,67";"14,29"
"TUW-140533-ref13";"25,00";"33,33";"20,00"
"TUW-140533-ref15";"57,14";"36,67";"38,00"
"TUW-140533-ref17";"80,00";"61,11";"63,33"
"TUW-140533-ref22";"66,67";"50,00";"46,15"
"TUW-140533-ref24";"44,44";"40,00";"33,33"
"TUW-140533-ref25";"75,00";"60,00";"60,00"
"TUW-140533-ref26";"66,67";"33,33";"33,33"
"TUW-140533-ref27";"33,33";"16,67";"16,67"
"TUW-140533-ref28";"90,00";"66,67";"67,69"
"TUW-140533-ref29";"80,00";"64,58";"65,48"
"TUW-140533-ref30";"50,00";"35,00";"30,95"
"TUW-140533-ref31";"75,00";"55,00";"57,14"
"TUW-140533-ref32";"75,00";"55,00";"57,14"
"TUW-140533-ref34";"25,00";"16,67";"16,67"
"TUW-140533-ref35";"50,00";"40,00";"33,33"
"TUW-140533-ref38";"50,00";"33,33";"33,33"
"TUW-140533-ref39";"25,00";"16,67";"14,29"
"TUW-140867-ref1";"86,36";"69,09";"69,09"
"TUW-140867-ref2";"100,00";"83,33";"83,33"
"TUW-140867-ref3";"100,00";"83,33";"83,33"
"TUW-140867-ref4";"100,00";"83,33";"83,33"
"TUW-140867-ref5";"66,67";"57,14";"50,00"
"TUW-140867-ref6";"100,00";"83,33";"83,33"
"TUW-140867-ref7";"80,00";"66,67";"66,67"
"TUW-140867-ref8";"100,00";"75,00";"75,00"
"TUW-140867-ref9";"66,67";"44,44";"44,44"
"TUW-140895-ref1";"66,67";"22,22";"22,22"
"TUW-140895-ref2";"50,00";"12,50";"12,50"
"TUW-140895-ref3";"83,33";"55,56";"55,56"
"TUW-140895-ref4";"25,00";"11,11";"10,00"
"TUW-140895-ref5";"33,33";"12,50";"11,11"
"TUW-140895-ref6";"71,43";"50,00";"50,00"
"TUW-140895-ref7";"33,33";"10,00";"10,00"
"TUW-140895-ref8";"33,33";"11,11";"11,11"
"TUW-140895-ref9";"71,43";"55,56";"55,56"
"TUW-140895-ref10";"25,00";"14,29";"12,50"
"TUW-140895-ref11";"33,33";"11,11";"11,11"
"TUW-140895-ref12";"75,00";"30,00";"30,00"
"TUW-140895-ref13";"25,00";"12,50";"11,11"
"TUW-140895-ref14";"75,00";"30,00";"30,00"
"TUW-140895-ref15";"33,33";"12,50";"12,50"
"TUW-140895-ref16";"33,33";"12,50";"12,50"
"TUW-140895-ref17";"66,67";"44,44";"44,44"
"TUW-140895-ref18";"75,00";"60,00";"60,00"
"TUW-140895-ref23";"40,00";"20,00";"20,00"
"TUW-140895-ref26";"25,00";"12,50";"12,50"
"TUW-140895-ref27";"33,33";"12,50";"12,50"
"TUW-140895-ref31";"0,00";"0,00";"0,00"
"TUW-140895-ref32";"25,00";"10,00";"9,09"
"TUW-141024-ref1";"99,21";"89,29";"89,29"
"TUW-141024-ref2";"88,89";"80,00";"80,00"
"TUW-141024-ref3";"100,00";"71,43";"71,43"
"TUW-141024-ref4";"100,00";"88,89";"88,89"
"TUW-141024-ref5";"88,89";"80,00";"80,00"
"TUW-141024-ref6";"77,78";"72,22";"66,67"
"TUW-141024-ref7";"100,00";"55,56";"55,56"
"TUW-141024-ref8";"50,00";"37,50";"33,33"
"TUW-141024-ref9";"100,00";"88,89";"88,89"
"TUW-141024-ref10";"88,89";"80,00";"80,00"
"TUW-141024-ref11";"91,11";"82,00";"82,00"
"TUW-141065-ref1";"66,67";"22,22";"22,22"
"TUW-141065-ref3";"0,00";"0,00";"0,00"
"TUW-141065-ref5";"83,33";"55,56";"55,56"
"TUW-141065-ref7";"50,00";"14,29";"14,29"
"TUW-141065-ref9";"33,33";"16,67";"16,67"
"TUW-141065-ref11";"33,33";"20,00";"16,67"
"TUW-141121-ref1";"100,00";"90,00";"90,00"
"TUW-141121-ref2";"85,71";"66,67";"66,67"
"TUW-141121-ref3";"83,33";"71,43";"71,43"
"TUW-141121-ref4";"87,50";"70,00";"70,00"
"TUW-141121-ref5";"85,71";"75,00";"75,00"
"TUW-141121-ref6";"100,00";"87,50";"87,50"
"TUW-141140-ref1";"100,00";"70,00";"70,00"
"TUW-141140-ref2";"100,00";"87,50";"87,50"
"TUW-141140-ref3";"85,71";"66,67";"60,00"
"TUW-141140-ref4";"80,00";"66,67";"57,14"
"TUW-141140-ref6";"75,00";"50,00";"42,86"
"TUW-141140-ref7";"80,00";"50,00";"50,00"
"TUW-141140-ref8";"66,67";"50,00";"50,00"
"TUW-141336-ref1";"85,71";"75,00";"75,00"
"TUW-141336-ref2";"87,50";"77,78";"77,78"
"TUW-141336-ref3";"93,75";"75,00";"75,00"
"TUW-141336-ref4";"96,30";"86,67";"86,67"
"TUW-141336-ref5";"73,33";"45,83";"45,83"
"TUW-141336-ref6";"85,71";"75,00";"75,00"
"TUW-141336-ref7";"85,71";"75,00";"75,00"
"TUW-141336-ref8";"71,43";"55,56";"55,56"
"TUW-141336-ref9";"81,25";"72,22";"72,22"
"TUW-141336-ref10";"87,50";"77,78";"77,78"
"TUW-141336-ref11";"85,71";"75,00";"75,00"
"TUW-141336-ref12";"75,00";"75,00";"66,67"
"TUW-141336-ref13";"80,00";"66,67";"66,67"
"TUW-141336-ref14";"87,50";"77,78";"77,78"
"TUW-141618-ref1";"25,00";"14,29";"12,50"
"TUW-141618-ref2";"66,67";"50,00";"50,00"
"TUW-141618-ref3";"57,14";"40,00";"40,00"
"TUW-141618-ref5";"0,00";"0,00";"0,00"
"TUW-141618-ref7";"0,00";"0,00";"0,00"
"TUW-141618-ref8";"0,00";"0,00";"0,00"
"TUW-141618-ref9";"50,00";"20,00";"20,00"
"TUW-141618-ref10";"8,33";"4,76";"4,08"
"TUW-141618-ref11";"85,71";"60,00";"60,00"
"TUW-141618-ref12";"0,00";"0,00";"0,00"
"TUW-141618-ref13";"33,33";"16,67";"16,67"
"TUW-141618-ref14";"50,00";"20,00";"20,00"
"TUW-141618-ref16";"85,71";"60,00";"60,00"
"TUW-141618-ref17";"0,00";"0,00";"0,00"
"TUW-141618-ref18";"66,67";"44,44";"40,00"
"TUW-141618-ref19";"6,67";"4,17";"3,70"
"TUW-141618-ref20";"80,00";"50,00";"50,00"
"TUW-141618-ref22";"0,00";"0,00";"0,00"
"TUW-141618-ref23";"71,43";"50,00";"50,00"
"TUW-141618-ref24";"66,67";"33,33";"33,33"
"TUW-141618-ref25";"33,33";"16,67";"16,67"
"TUW-141618-ref26";"0,00";"0,00";"0,00"
"TUW-141618-ref27";"0,00";"0,00";"0,00"
"TUW-141618-ref28";"50,00";"37,50";"33,33"
"TUW-141618-ref30";"16,67";"5,56";"5,56"
"TUW-141618-ref31";"0,00";"0,00";"0,00"
"TUW-141618-ref32";"0,00";"0,00";"0,00"
"TUW-141618-ref33";"0,00";"0,00";"0,00"
"TUW-141618-ref34";"40,00";"25,00";"25,00"
"TUW-141618-ref36";"0,00";"0,00";"0,00"
"TUW-141618-ref37";"57,14";"40,00";"40,00"
"TUW-141758-ref1";"50,00";"33,33";"33,33"
"TUW-141758-ref2";"50,00";"25,00";"25,00"
"TUW-141758-ref4";"25,00";"12,50";"12,50"
"TUW-141758-ref6";"80,00";"50,00";"50,00"
"TUW-141758-ref7";"50,00";"20,00";"20,00"
"TUW-141758-ref9";"75,00";"50,00";"50,00"
"TUW-141758-ref11";"66,67";"44,44";"44,44"
"TUW-141758-ref12";"50,00";"28,57";"25,00"
"TUW-141758-ref13";"0,00";"0,00";"0,00"
"TUW-141758-ref15";"80,00";"57,14";"57,14"
"TUW-141758-ref16";"25,00";"10,00";"10,00"
"TUW-141758-ref17";"80,00";"44,44";"44,44"
"TUW-141758-ref18";"50,00";"22,22";"20,00"
"TUW-141758-ref19";"40,00";"28,57";"25,00"
"TUW-141758-ref20";"43,75";"15,91";"15,91"
"TUW-141758-ref21";"50,00";"16,67";"16,67"
"TUW-141758-ref22";"50,00";"20,00";"20,00"
"TUW-141758-ref23";"25,00";"10,00";"10,00"
"TUW-141758-ref24";"50,00";"20,00";"20,00"
"TUW-141758-ref25";"60,00";"30,00";"30,00"
"TUW-141758-ref26";"50,00";"25,00";"25,00"
"TUW-141758-ref27";"50,00";"25,00";"25,00"
"TUW-141758-ref28";"25,00";"12,50";"12,50"
"TUW-141758-ref29";"25,00";"14,29";"12,50"
"TUW-141758-ref31";"0,00";"0,00";"0,00"
"TUW-141758-ref33";"50,00";"33,33";"33,33"
"TUW-141758-ref34";"0,00";"0,00";"0,00"
"TUW-141758-ref35";"0,00";"0,00";"0,00"
"TUW-141758-ref36";"0,00";"0,00";"0,00"
"TUW-141758-ref37";"33,33";"12,50";"12,50"
"TUW-141758-ref38";"0,00";"0,00";"0,00"
"TUW-141758-ref39";"25,00";"12,50";"12,50"
"TUW-141758-ref41";"25,00";"10,00";"10,00"
"TUW-141758-ref42";"33,33";"12,50";"12,50"
"TUW-141758-ref43";"25,00";"12,50";"11,11"
"TUW-141758-ref44";"33,33";"12,50";"12,50"
"TUW-141758-ref45";"75,00";"50,00";"50,00"
"TUW-141758-ref46";"85,71";"60,00";"60,00"
"TUW-141758-ref47";"41,67";"17,46";"19,05"
"TUW-141758-ref48";"0,00";"0,00";"0,00"
"TUW-141758-ref49";"40,00";"19,23";"21,25"
"TUW-168482-ref1";"66,67";"60,00";"60,00"
"TUW-168482-ref4";"75,00";"30,00";"30,00"
"TUW-168482-ref5";"83,33";"50,00";"50,00"
"TUW-168482-ref6";"75,00";"30,00";"30,00"
"TUW-168482-ref9";"16,67";"14,29";"12,50"
"TUW-168482-ref11";"50,00";"50,00";"45,45"
"TUW-168482-ref14";"77,78";"70,00";"70,00"
"TUW-168482-ref17";"50,00";"33,33";"33,33"
"TUW-168482-ref18";"60,00";"37,50";"37,50"
"TUW-168482-ref19";"50,00";"25,00";"25,00"
"TUW-168482-ref21";"25,00";"10,00";"10,00"
"TUW-168482-ref22";"60,00";"30,00";"30,00"
"TUW-168482-ref23";"33,33";"10,00";"10,00"
"TUW-168482-ref24";"33,33";"10,00";"10,00"
"TUW-168482-ref25";"50,00";"28,57";"28,57"
"TUW-169511-ref1";"100,00";"88,89";"88,89"
"TUW-169511-ref2";"71,43";"55,56";"50,00"
"TUW-169511-ref3";"60,00";"37,50";"37,50"
"TUW-169511-ref4";"100,00";"88,89";"88,89"
"TUW-169511-ref5";"100,00";"90,00";"90,00"
"TUW-169511-ref6";"93,75";"83,33";"83,33"
"TUW-172697-ref2";"15,15";"25,00";"15,33"
"TUW-174216-ref1";"66,67";"25,00";"25,00"
"TUW-174216-ref4";"33,33";"16,67";"16,67"
"TUW-174216-ref9";"14,29";"14,29";"9,09"
"TUW-174216-ref10";"85,71";"60,00";"60,00"
"TUW-174216-ref11";"33,33";"12,50";"12,50"
"TUW-174216-ref13";"14,29";"16,67";"10,00"
"TUW-174216-ref14";"33,33";"16,67";"14,29"
"TUW-174216-ref18";"66,67";"25,00";"25,00"
"TUW-174216-ref20";"83,33";"50,00";"50,00"
"TUW-174216-ref21";"75,00";"42,86";"42,86"
"TUW-174216-ref25";"33,33";"16,67";"14,29"
"TUW-174216-ref26";"0,00";"0,00";"0,00"
"TUW-175428-ref2";"75,00";"60,00";"60,00"
"TUW-175428-ref3";"80,00";"66,67";"66,67"
"TUW-175428-ref7";"75,00";"33,33";"33,33"
"TUW-175428-ref8";"33,33";"11,11";"11,11"
"TUW-175428-ref9";"85,71";"60,00";"60,00"
"TUW-175428-ref10";"75,00";"60,00";"60,00"
"TUW-175428-ref13";"75,00";"33,33";"33,33"
"TUW-175428-ref14";"50,00";"14,29";"14,29"
"TUW-175428-ref17";"75,00";"60,00";"60,00"
"TUW-175428-ref18";"25,00";"12,50";"11,11"
"TUW-175428-ref19";"66,67";"33,33";"33,33"
"TUW-176087-ref1";"88,89";"76,67";"78,00"
"TUW-176087-ref2";"88,89";"76,67";"78,00"
"TUW-176087-ref3";"88,89";"76,67";"78,00"
"TUW-176087-ref4";"100,00";"83,33";"85,19"
"TUW-176087-ref5";"100,00";"83,33";"85,19"
"TUW-176087-ref6";"88,89";"75,00";"76,67"
"TUW-176087-ref7";"88,89";"75,00";"76,67"
"TUW-176087-ref8";"100,00";"86,67";"88,00"
"TUW-176087-ref9";"80,00";"80,00";"72,73"
"TUW-176087-ref10";"88,89";"76,67";"78,00"
"TUW-176087-ref11";"100,00";"86,67";"88,00"
"TUW-176087-ref12";"88,89";"76,67";"78,00"
"TUW-176087-ref13";"100,00";"86,67";"88,00"
"TUW-176087-ref14";"88,89";"76,67";"78,00"
"TUW-177140-ref7";"33,33";"30,00";"27,27"
"TUW-177140-ref10";"55,56";"50,00";"45,45"
"TUW-177140-ref11";"60,00";"50,00";"42,86"
"TUW-177140-ref12";"40,00";"28,57";"25,00"
"TUW-177140-ref13";"85,71";"75,00";"75,00"
"TUW-177140-ref15";"55,56";"62,50";"45,45"
"TUW-179146-ref1";"75,00";"37,50";"37,50"
"TUW-179146-ref2";"33,33";"16,67";"16,67"
"TUW-179146-ref3";"33,33";"12,50";"12,50"
"TUW-179146-ref6";"85,71";"60,00";"60,00"
"TUW-179146-ref7";"33,33";"10,00";"10,00"
"TUW-179146-ref8";"18,75";"7,50";"6,82"
"TUW-179146-ref9";"80,00";"50,00";"50,00"
"TUW-179146-ref10";"85,71";"60,00";"60,00"
"TUW-179146-ref11";"50,00";"33,33";"33,33"
"TUW-179146-ref12";"33,33";"16,67";"16,67"
"TUW-179146-ref17";"75,00";"42,86";"42,86"
"TUW-180162-ref1";"66,67";"33,33";"33,33"
"TUW-180162-ref2";"75,00";"50,00";"50,00"
"TUW-180162-ref3";"80,00";"50,00";"50,00"
"TUW-180162-ref4";"33,33";"16,67";"16,67"
"TUW-180162-ref5";"25,00";"12,50";"11,11"
"TUW-180162-ref6";"33,33";"12,50";"12,50"
"TUW-180162-ref7";"0,00";"0,00";"0,00"
"TUW-180162-ref9";"66,67";"33,33";"33,33"
"TUW-180162-ref10";"50,00";"33,33";"33,33"
"TUW-180162-ref11";"33,33";"16,67";"16,67"
"TUW-180162-ref12";"33,33";"16,67";"16,67"
"TUW-180162-ref13";"75,00";"50,00";"50,00"
"TUW-180162-ref14";"80,00";"66,67";"66,67"
"TUW-180162-ref15";"80,00";"66,67";"66,67"
