"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"67,84";"24,93";"23,85"
"Zeitschriftenartikel";"65,73";"19,01";"19,00"
"Diplom- oder Masterarbeiten";"39,43";"15,83";"13,30"
"Buchbeiträge";"72,22";"29,81";"27,74"
"Average";"61,31";"22,40";"20,97"
