"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"74,13";"54,23";"51,81"
"Zeitschriftenartikel";"70,94";"48,77";"46,62"
"Diplom- oder Masterarbeiten";"62,96";"39,47";"38,25"
"Buchbeiträge";"74,73";"55,62";"54,43"
"Average";"70,69";"49,52";"47,78"
