"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"86,70";"10,63";"10,63"
"Zeitschriftenartikel";"81,54";"9,52";"9,52"
"Diplom- oder Masterarbeiten";"100,00";"12,30";"12,30"
"Buchbeiträge";"60,44";"7,07";"7,07"
"Average";"82,17";"9,88";"9,88"
