"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-139761-ref4";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref5";"notMatched";"notMatched";"notMatched";"71,43";"83,33";"62,50";"100,00";"66,67";"66,67";"NAN";"0,00";"0,00"
"TUW-139761-ref6";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref7";"notMatched";"notMatched";"notMatched";"60,00";"42,86";"37,50";"75,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref8";"notMatched";"notMatched";"notMatched";"33,33";"33,33";"22,22";"66,67";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref9";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref10";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref11";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-139761-ref12";"notMatched";"notMatched";"notMatched";"50,00";"33,33";"28,57";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref13";"notMatched";"notMatched";"notMatched";"60,00";"35,71";"33,33";"50,00";"21,43";"23,81";"notMatched";"notMatched";"notMatched"
"TUW-139761-ref14";"notMatched";"notMatched";"notMatched";"87,50";"77,78";"77,78";"80,00";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-139761-ref15";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref16";"notMatched";"notMatched";"notMatched";"66,67";"40,00";"40,00";"50,00";"40,00";"33,33";"NAN";"0,00";"0,00"
"TUW-139761-ref17";"notMatched";"notMatched";"notMatched";"100,00";"80,00";"80,00";"50,00";"40,00";"33,33";"NAN";"0,00";"0,00"
"TUW-139761-ref18";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"40,00";"28,57";"25,00";"NAN";"0,00";"0,00"
"TUW-139761-ref19";"notMatched";"notMatched";"notMatched";"100,00";"70,00";"73,33";"50,00";"30,00";"27,78";"NAN";"0,00";"0,00"
"TUW-139761-ref20";"notMatched";"notMatched";"notMatched";"92,00";"79,17";"77,78";"53,33";"41,67";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref21";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref22";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref23";"notMatched";"notMatched";"notMatched";"83,33";"83,33";"71,43";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref24";"notMatched";"notMatched";"notMatched";"80,00";"66,67";"57,14";"60,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref25";"notMatched";"notMatched";"notMatched";"83,33";"71,43";"71,43";"33,33";"28,57";"22,22";"NAN";"0,00";"0,00"
"TUW-139761-ref26";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref27";"notMatched";"notMatched";"notMatched";"50,00";"25,00";"25,00";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-139761-ref28";"notMatched";"notMatched";"notMatched";"71,43";"62,50";"55,56";"60,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-139761-ref29";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"60,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref30";"notMatched";"notMatched";"notMatched";"33,33";"16,67";"16,67";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref31";"notMatched";"notMatched";"notMatched";"83,33";"83,33";"71,43";"33,33";"33,33";"25,00";"NAN";"0,00";"0,00"
"TUW-139761-ref32";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"33,33";"28,57";"22,22";"NAN";"0,00";"0,00"
"TUW-139761-ref33";"notMatched";"notMatched";"notMatched";"50,00";"28,57";"25,00";"100,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref34";"notMatched";"notMatched";"notMatched";"100,00";"71,43";"71,43";"100,00";"57,14";"57,14";"NAN";"0,00";"0,00"
"TUW-139769-ref1";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"91,67";"34,38";"34,38";"NAN";"0,00";"0,00"
"TUW-139769-ref2";"notMatched";"notMatched";"notMatched";"50,00";"25,00";"20,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref3";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139769-ref4";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139769-ref5";"notMatched";"notMatched";"notMatched";"100,00";"77,78";"77,78";"57,14";"44,44";"40,00";"NAN";"0,00";"0,00"
"TUW-139769-ref6";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139769-ref7";"notMatched";"notMatched";"notMatched";"85,71";"75,00";"75,00";"75,00";"37,50";"33,33";"NAN";"0,00";"0,00"
"TUW-139769-ref8";"notMatched";"notMatched";"notMatched";"100,00";"80,00";"80,00";"100,00";"80,00";"80,00";"NAN";"0,00";"0,00"
"TUW-139769-ref9";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"60,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-139769-ref10";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139769-ref11";"notMatched";"notMatched";"notMatched";"50,00";"40,00";"33,33";"100,00";"60,00";"60,00";"NAN";"0,00";"0,00"
"TUW-139769-ref12";"notMatched";"notMatched";"notMatched";"100,00";"80,00";"80,00";"100,00";"80,00";"80,00";"NAN";"0,00";"0,00"
"TUW-139769-ref13";"notMatched";"notMatched";"notMatched";"83,33";"62,50";"62,50";"50,00";"25,00";"22,22";"NAN";"0,00";"0,00"
"TUW-139769-ref14";"notMatched";"notMatched";"notMatched";"25,00";"25,00";"13,33";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref15";"notMatched";"notMatched";"notMatched";"85,71";"75,00";"66,67";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139769-ref16";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"100,00";"57,14";"57,14";"NAN";"0,00";"0,00"
"TUW-139769-ref17";"notMatched";"notMatched";"notMatched";"100,00";"80,00";"80,00";"100,00";"80,00";"80,00";"NAN";"0,00";"0,00"
"TUW-139769-ref18";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"100,00";"57,14";"57,14";"NAN";"0,00";"0,00"
"TUW-139769-ref19";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139769-ref20";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139769-ref21";"notMatched";"notMatched";"notMatched";"75,00";"60,00";"50,00";"75,00";"60,00";"60,00";"NAN";"0,00";"0,00"
"TUW-139769-ref22";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"66,67";"25,00";"25,00";"NAN";"0,00";"0,00"
"TUW-139769-ref23";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139769-ref24";"notMatched";"notMatched";"notMatched";"87,50";"87,50";"77,78";"66,67";"50,00";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref25";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139769-ref26";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"80,00";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-139769-ref27";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139769-ref28";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139769-ref29";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"80,00";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-139769-ref30";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"80,00";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-139769-ref31";"100,00";"77,78";"77,78";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139769-ref32";"100,00";"50,00";"50,00";"50,00";"33,33";"28,57";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-139769-ref33";"100,00";"71,43";"71,43";"83,33";"71,43";"71,43";"100,00";"57,14";"57,14";"NAN";"0,00";"0,00"
"TUW-139769-ref34";"100,00";"71,43";"71,43";"83,33";"71,43";"71,43";"100,00";"57,14";"57,14";"NAN";"0,00";"0,00"
"TUW-139781-ref1";"80,00";"50,00";"50,00";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139781-ref2";"50,00";"25,00";"25,00";"83,33";"62,50";"62,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139781-ref3";"40,00";"22,22";"22,22";"100,00";"88,89";"88,89";"71,43";"55,56";"50,00";"NAN";"0,00";"0,00"
"TUW-139781-ref4";"100,00";"20,00";"20,00";"75,00";"60,00";"50,00";"75,00";"60,00";"60,00";"NAN";"0,00";"0,00"
"TUW-139781-ref5";"40,00";"25,00";"22,22";"100,00";"87,50";"87,50";"50,00";"37,50";"33,33";"NAN";"0,00";"0,00"
"TUW-139781-ref6";"100,00";"71,43";"71,43";"100,00";"85,71";"85,71";"83,33";"71,43";"62,50";"NAN";"0,00";"0,00"
"TUW-139781-ref7";"50,00";"28,57";"28,57";"100,00";"85,71";"85,71";"75,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139781-ref8";"80,00";"50,00";"50,00";"100,00";"87,50";"87,50";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-139785-ref1";"notMatched";"notMatched";"notMatched";"100,00";"77,78";"77,78";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref2";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref3";"notMatched";"notMatched";"notMatched";"100,00";"77,78";"77,78";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref4";"notMatched";"notMatched";"notMatched";"90,48";"72,22";"71,11";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref5";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref6";"notMatched";"notMatched";"notMatched";"75,00";"60,00";"60,00";"100,00";"80,00";"80,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref7";"notMatched";"notMatched";"notMatched";"82,14";"66,67";"65,08";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref8";"notMatched";"notMatched";"notMatched";"92,86";"77,78";"74,07";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref9";"notMatched";"notMatched";"notMatched";"66,67";"70,00";"56,67";"66,67";"40,00";"40,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref10";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"75,00";"42,86";"42,86";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref11";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref12";"90,48";"72,22";"71,11";"93,75";"83,33";"83,33";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref13";"100,00";"50,00";"50,00";"66,67";"50,00";"40,00";"100,00";"75,00";"75,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref14";"75,00";"25,00";"25,00";"46,67";"41,67";"34,29";"60,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref15";"100,00";"75,00";"75,00";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref16";"100,00";"77,78";"77,78";"100,00";"88,89";"88,89";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref17";"90,00";"55,56";"51,85";"83,33";"55,56";"55,56";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref18";"notMatched";"notMatched";"notMatched";"100,00";"77,78";"77,78";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref19";"notMatched";"notMatched";"notMatched";"66,67";"50,00";"50,00";"38,10";"37,50";"35,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref20";"notMatched";"notMatched";"notMatched";"54,17";"56,25";"48,89";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref21";"notMatched";"notMatched";"notMatched";"66,67";"54,55";"46,15";"37,50";"27,27";"23,08";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref22";"notMatched";"notMatched";"notMatched";"100,00";"77,78";"77,78";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref23";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref24";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref25";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref26";"notMatched";"notMatched";"notMatched";"93,75";"76,67";"75,71";"50,00";"30,00";"30,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref27";"100,00";"50,00";"50,00";"66,67";"50,00";"40,00";"100,00";"75,00";"75,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref28";"66,67";"44,44";"44,44";"100,00";"77,78";"77,78";"61,11";"40,74";"40,74";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref29";"notMatched";"notMatched";"notMatched";"66,67";"54,55";"46,15";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref30";"notMatched";"notMatched";"notMatched";"66,67";"54,55";"45,83";"28,57";"18,18";"16,67";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref31";"100,00";"77,78";"77,78";"100,00";"88,89";"88,89";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref32";"95,24";"74,07";"74,07";"93,75";"85,19";"84,13";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref33";"notMatched";"notMatched";"notMatched";"33,33";"18,75";"17,50";"75,00";"37,50";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref34";"notMatched";"notMatched";"notMatched";"100,00";"77,78";"77,78";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref35";"notMatched";"notMatched";"notMatched";"66,67";"40,00";"40,00";"66,67";"40,00";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref36";"notMatched";"notMatched";"notMatched";"66,67";"50,00";"40,00";"100,00";"75,00";"75,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref37";"notMatched";"notMatched";"notMatched";"55,56";"45,45";"38,46";"28,57";"18,18";"16,67";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref38";"notMatched";"notMatched";"notMatched";"50,00";"33,33";"28,57";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref39";"notMatched";"notMatched";"notMatched";"91,67";"83,33";"82,22";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref40";"notMatched";"notMatched";"notMatched";"100,00";"77,78";"77,78";"100,00";"44,44";"44,44";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref41";"66,67";"50,00";"50,00";"71,43";"62,50";"62,50";"100,00";"50,00";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref42";"66,67";"28,57";"28,57";"60,00";"42,86";"37,50";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref43";"56,25";"25,93";"25,40";"100,00";"77,78";"77,78";"62,50";"25,93";"26,67";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref44";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref45";"48,00";"27,27";"21,43";"61,11";"50,00";"42,31";"42,86";"27,27";"25,00";"notMatched";"notMatched";"notMatched"
"TUW-140047-ref1";"66,67";"50,00";"44,44";"100,00";"75,00";"75,00";"60,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-140047-ref2";"66,67";"50,00";"44,44";"100,00";"75,00";"75,00";"60,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-140047-ref3";"0,00";"0,00";"0,00";"100,00";"80,00";"80,00";"66,67";"40,00";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-140047-ref4";"100,00";"40,00";"40,00";"66,67";"40,00";"33,33";"100,00";"60,00";"60,00";"notMatched";"notMatched";"notMatched"
"TUW-140047-ref5";"notMatched";"notMatched";"notMatched";"83,33";"62,50";"62,50";"50,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-140048-ref1";"0,00";"0,00";"0,00";"25,00";"20,00";"14,29";"50,00";"40,00";"28,57";"NAN";"0,00";"0,00"
"TUW-140048-ref2";"83,33";"45,00";"46,67";"100,00";"80,00";"80,00";"57,14";"40,00";"40,00";"NAN";"0,00";"0,00"
"TUW-140048-ref3";"60,00";"37,50";"37,50";"66,67";"50,00";"44,44";"33,33";"25,00";"22,22";"NAN";"0,00";"0,00"
"TUW-140048-ref4";"100,00";"60,00";"60,00";"100,00";"80,00";"80,00";"57,14";"40,00";"40,00";"NAN";"0,00";"0,00"
"TUW-140048-ref5";"100,00";"60,00";"60,00";"66,67";"40,00";"40,00";"66,67";"40,00";"40,00";"NAN";"0,00";"0,00"
"TUW-140048-ref6";"0,00";"0,00";"0,00";"33,33";"20,00";"16,67";"33,33";"20,00";"16,67";"NAN";"0,00";"0,00"
"TUW-140048-ref7";"0,00";"0,00";"0,00";"25,00";"20,00";"12,50";"33,33";"20,00";"14,29";"NAN";"0,00";"0,00"
"TUW-140048-ref8";"0,00";"0,00";"0,00";"33,33";"20,00";"14,29";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-140048-ref9";"0,00";"0,00";"0,00";"33,33";"20,00";"14,29";"66,67";"40,00";"33,33";"NAN";"0,00";"0,00"
"TUW-140048-ref10";"notMatched";"notMatched";"notMatched";"25,00";"20,00";"14,29";"20,00";"20,00";"12,50";"NAN";"0,00";"0,00"
"TUW-140048-ref11";"notMatched";"notMatched";"notMatched";"33,33";"16,67";"14,29";"25,00";"16,67";"12,50";"NAN";"0,00";"0,00"
"TUW-140048-ref12";"0,00";"0,00";"0,00";"33,33";"20,00";"16,67";"25,00";"20,00";"14,29";"NAN";"0,00";"0,00"
"TUW-140048-ref13";"0,00";"0,00";"0,00";"33,33";"20,00";"16,67";"33,33";"20,00";"16,67";"NAN";"0,00";"0,00"
