"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"82,23";"68,31";"65,13"
"Zeitschriftenartikel";"81,55";"68,06";"64,93"
"Diplom- oder Masterarbeiten";"80,24";"65,53";"63,29"
"Buchbeiträge";"85,30";"71,96";"70,14"
"Average";"82,33";"68,47";"65,87"
