"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"85,31";"76,90";"76,27"
"Zeitschriftenartikel";"86,62";"71,61";"71,43"
"Diplom- oder Masterarbeiten";"56,91";"52,70";"47,16"
"Buchbeiträge";"93,01";"79,35";"79,09"
"Average";"80,46";"70,14";"68,49"
