"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"53,82";"24,46";"22,38"
"Zeitschriftenartikel";"42,52";"22,64";"20,43"
"Diplom- oder Masterarbeiten";"43,64";"32,06";"26,68"
"Buchbeiträge";"68,52";"39,82";"38,48"
"Average";"52,13";"29,74";"26,99"
