"File";"Precision";"Recall";"F1"
"TUW-139785-ref25";"87,50";"77,78";"77,78"
"TUW-139785-ref26";"28,57";"18,18";"16,67"
"TUW-139785-ref27";"37,50";"32,00";"25,76"
"TUW-139785-ref28";"60,00";"30,00";"30,00"
"TUW-139785-ref29";"44,44";"33,33";"28,57"
"TUW-139785-ref31";"75,00";"60,00";"60,00"
"TUW-139785-ref32";"87,50";"70,00";"70,00"
"TUW-139785-ref33";"16,67";"11,11";"10,00"
"TUW-139785-ref34";"57,14";"40,00";"40,00"
"TUW-139785-ref35";"25,00";"16,67";"16,67"
"TUW-139785-ref36";"25,00";"20,00";"16,67"
"TUW-139785-ref38";"25,00";"14,29";"14,29"
"TUW-139785-ref39";"41,67";"25,00";"25,00"
"TUW-139785-ref40";"33,33";"10,00";"10,00"
"TUW-139785-ref41";"37,50";"33,33";"30,00"
"TUW-139785-ref42";"40,00";"25,00";"25,00"
"TUW-139785-ref43";"81,25";"63,33";"64,00"
"TUW-139785-ref44";"20,00";"12,50";"12,50"
"TUW-139785-ref45";"44,44";"33,33";"28,57"
"TUW-140048-ref1";"20,00";"16,67";"11,11"
"TUW-140048-ref2";"66,67";"36,36";"36,36"
"TUW-140048-ref4";"50,00";"18,18";"18,18"
"TUW-140048-ref5";"50,00";"33,33";"33,33"
"TUW-140048-ref9";"16,67";"16,67";"11,11"
"TUW-140048-ref11";"0,00";"0,00";"0,00"
"TUW-140048-ref13";"20,00";"16,67";"14,29"
"TUW-140253-ref6";"33,33";"10,00";"10,00"
"TUW-140253-ref32";"33,33";"11,11";"11,11"
"TUW-140253-ref35";"33,33";"14,29";"14,29"
"TUW-140533-ref21";"14,29";"8,33";"8,33"
"TUW-140533-ref24";"20,00";"10,00";"10,00"
"TUW-140533-ref39";"33,33";"16,67";"14,29"
"TUW-140895-ref2";"60,00";"37,50";"37,50"
"TUW-140895-ref3";"57,14";"44,44";"40,00"
"TUW-140895-ref4";"64,29";"50,00";"45,00"
"TUW-140895-ref5";"73,33";"45,83";"45,83"
"TUW-140895-ref6";"62,50";"50,00";"41,67"
"TUW-140895-ref7";"100,00";"85,00";"86,67"
"TUW-140895-ref8";"60,00";"33,33";"33,33"
"TUW-140895-ref9";"89,29";"69,44";"69,44"
"TUW-140895-ref11";"100,00";"72,22";"74,07"
"TUW-140895-ref12";"100,00";"85,00";"86,67"
"TUW-140895-ref13";"40,00";"25,00";"22,22"
"TUW-140895-ref14";"72,22";"43,33";"43,33"
"TUW-140895-ref16";"57,14";"50,00";"44,44"
"TUW-140895-ref17";"78,57";"61,11";"61,11"
"TUW-140895-ref18";"71,43";"50,00";"50,00"
"TUW-140895-ref19";"66,67";"60,00";"60,00"
"TUW-140895-ref20";"83,33";"55,56";"55,56"
"TUW-140895-ref21";"0,00";"0,00";"0,00"
"TUW-140895-ref22";"25,00";"9,09";"9,09"
"TUW-140895-ref23";"20,00";"10,00";"8,33"
"TUW-140895-ref24";"83,33";"55,56";"55,56"
"TUW-140895-ref25";"50,00";"27,27";"25,00"
"TUW-140895-ref26";"33,33";"25,00";"25,00"
"TUW-140895-ref27";"71,43";"62,50";"62,50"
"TUW-140895-ref28";"16,67";"16,67";"11,11"
"TUW-140895-ref32";"75,00";"60,00";"60,00"
"TUW-140895-ref33";"50,00";"33,33";"33,33"
"TUW-141024-ref1";"70,00";"70,00";"63,64"
"TUW-141024-ref2";"60,00";"60,00";"54,55"
"TUW-141024-ref3";"66,67";"57,14";"50,00"
"TUW-141024-ref4";"62,50";"55,56";"50,00"
"TUW-141024-ref5";"88,89";"80,00";"80,00"
"TUW-141024-ref6";"50,00";"33,33";"33,33"
"TUW-141024-ref8";"40,00";"25,00";"25,00"
"TUW-141024-ref9";"50,00";"44,44";"40,00"
"TUW-141024-ref10";"66,67";"60,00";"60,00"
"TUW-141024-ref11";"66,67";"60,00";"60,00"
"TUW-141140-ref1";"66,67";"40,00";"40,00"
"TUW-141140-ref3";"50,00";"33,33";"33,33"
"TUW-141140-ref4";"40,00";"33,33";"28,57"
"TUW-141140-ref6";"40,00";"33,33";"28,57"
"TUW-141140-ref7";"0,00";"0,00";"0,00"
"TUW-141140-ref8";"20,00";"12,50";"12,50"
"TUW-141618-ref1";"80,00";"57,14";"57,14"
"TUW-141618-ref2";"80,00";"50,00";"50,00"
"TUW-141618-ref3";"54,17";"45,00";"44,00"
"TUW-141618-ref4";"100,00";"83,33";"83,33"
"TUW-141618-ref5";"50,00";"25,00";"25,00"
"TUW-141618-ref7";"80,00";"50,00";"50,00"
"TUW-141618-ref8";"80,00";"66,67";"66,67"
"TUW-141618-ref9";"100,00";"40,00";"40,00"
"TUW-141618-ref10";"80,00";"57,14";"57,14"
"TUW-141618-ref11";"66,67";"20,00";"20,00"
"TUW-141618-ref12";"83,33";"83,33";"71,43"
"TUW-141618-ref13";"100,00";"66,67";"66,67"
"TUW-141618-ref14";"100,00";"40,00";"40,00"
"TUW-141618-ref15";"100,00";"83,33";"83,33"
"TUW-141618-ref17";"71,43";"55,56";"50,00"
"TUW-141618-ref18";"71,43";"55,56";"50,00"
"TUW-141618-ref19";"80,00";"66,67";"66,67"
"TUW-141618-ref20";"80,00";"50,00";"50,00"
"TUW-141618-ref21";"100,00";"83,33";"83,33"
"TUW-141618-ref22";"75,00";"50,00";"50,00"
"TUW-141618-ref23";"87,50";"70,00";"63,64"
"TUW-141618-ref24";"100,00";"83,33";"83,33"
"TUW-141618-ref25";"100,00";"83,33";"83,33"
"TUW-141618-ref28";"71,43";"62,50";"55,56"
"TUW-141618-ref29";"41,67";"27,78";"23,81"
"TUW-141618-ref31";"100,00";"83,33";"83,33"
"TUW-141618-ref32";"100,00";"80,00";"80,00"
"TUW-141618-ref33";"100,00";"80,00";"80,00"
"TUW-141618-ref34";"44,44";"25,00";"18,75"
"TUW-141618-ref35";"75,00";"60,00";"50,00"
