"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"47,25";"34,25";"31,43"
"Zeitschriftenartikel";"54,54";"38,28";"35,94"
"Diplom- oder Masterarbeiten";"59,99";"40,84";"38,43"
"Buchbeiträge";"81,59";"62,51";"60,79"
"Average";"60,84";"43,97";"41,65"
