"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"83,52";"63,50";"62,79"
"Zeitschriftenartikel";"86,51";"64,54";"64,69"
"Diplom- oder Masterarbeiten";"57,84";"52,33";"47,53"
"Buchbeiträge";"92,01";"70,04";"70,01"
"Average";"79,97";"62,60";"61,25"
