"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"73,07";"59,81";"55,46"
"Zeitschriftenartikel";"78,95";"64,45";"61,65"
"Diplom- oder Masterarbeiten";"83,84";"68,70";"66,19"
"Buchbeiträge";"78,23";"66,81";"65,56"
"Average";"78,52";"64,94";"62,22"
