"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"73,50";"43,75";"42,43"
"Zeitschriftenartikel";"67,50";"37,35";"36,35"
"Diplom- oder Masterarbeiten";"52,83";"31,10";"29,69"
"Buchbeiträge";"80,52";"57,86";"56,68"
"Average";"68,59";"42,52";"41,29"
