"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"77,14";"25,88";"26,11"
"Zeitschriftenartikel";"68,26";"20,95";"21,47"
"Diplom- oder Masterarbeiten";"60,74";"12,33";"12,93"
"Buchbeiträge";"73,04";"27,30";"27,78"
"Average";"69,80";"21,62";"22,07"
