"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"86,72";"78,04";"77,46"
"Zeitschriftenartikel";"76,89";"66,69";"64,88"
"Diplom- oder Masterarbeiten";"51,07";"45,41";"40,64"
"Buchbeiträge";"83,05";"71,91";"71,67"
"Average";"74,43";"65,51";"63,66"
