"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"74,67";"58,52";"54,36"
"Zeitschriftenartikel";"66,81";"52,34";"47,79"
"Diplom- oder Masterarbeiten";"20,12";"12,40";"10,14"
"Buchbeiträge";"88,50";"60,92";"63,48"
"Average";"62,53";"46,05";"43,94"
