"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-191977";"94,17";"85,61";"85,61";"90,91";"90,91";"90,91";"70,00";"25,76";"25,44";"80,00";"34,85";"35,54"
"TUW-192724";"91,15";"75,87";"81,50";"93,39";"91,67";"90,53";"45,00";"13,37";"14,13";"80,00";"33,33";"33,33"
"TUW-194085";"37,50";"19,70";"17,58";"49,55";"60,12";"48,39";"42,03";"19,41";"15,41";"69,05";"10,32";"10,91"
"TUW-194561";"72,14";"82,45";"64,12";"78,47";"70,00";"63,90";"69,16";"20,78";"20,23";"80,00";"28,57";"28,57"
"TUW-194660";"50,00";"26,67";"23,38";"66,05";"68,89";"66,84";"71,67";"33,33";"32,10";"66,67";"22,22";"22,22"
"TUW-197422";"99,57";"71,55";"74,98";"90,00";"77,51";"79,46";"68,75";"29,75";"25,03";"71,15";"25,87";"25,87"
"TUW-197852";"46,67";"23,35";"24,40";"80,30";"76,92";"70,51";"72,50";"26,92";"23,63";"40,63";"12,50";"12,50"
"TUW-198400";"74,15";"67,22";"67,29";"93,18";"86,80";"89,12";"68,75";"22,40";"23,47";"75,00";"28,57";"30,54"
"TUW-198401";"50,00";"38,89";"29,17";"100,00";"93,06";"95,91";"76,25";"30,56";"27,09";"95,00";"30,56";"31,06"
"TUW-198405";"80,00";"25,76";"28,79";"100,00";"60,61";"61,98";"68,75";"22,73";"23,64";"100,00";"31,82";"33,33"
"TUW-198408";"46,67";"23,38";"24,24";"86,07";"78,88";"78,53";"79,17";"32,13";"29,67";"100,00";"18,18";"18,18"
"TUW-200745";"15,00";"10,23";"9,23";"44,86";"43,12";"37,33";"33,85";"18,69";"12,86";"50,00";"9,09";"9,09"
"TUW-200748";"23,63";"19,77";"14,37";"65,74";"67,67";"61,34";"35,80";"17,87";"12,96";"67,86";"20,80";"21,92"
"TUW-200948";"77,65";"76,65";"71,80";"100,00";"98,48";"99,17";"66,29";"24,69";"24,35";"77,65";"33,78";"34,47"
"TUW-200950";"76,19";"72,73";"65,45";"88,18";"82,83";"77,81";"40,00";"12,12";"12,99";"75,00";"21,21";"22,73"
