"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"66,83";"24,41";"23,28"
"Zeitschriftenartikel";"65,19";"19,07";"18,95"
"Diplom- oder Masterarbeiten";"38,99";"14,80";"12,41"
"Buchbeiträge";"71,63";"29,75";"27,61"
"Average";"60,66";"22,01";"20,56"
